SURF,KVD,STAR,HARRIS3D,GFTT,FAST,SIFT3D,SIFT,HARRIS6D,DENSE,NARF,ORB,MSER
0.080000000000000002,0.14000000000000001,0.052999999999999999,0.38,0.099000000000000005,0.21299999999999999,0.23300000000000001,0.066000000000000003,0.25700000000000001,0.33000000000000002,0.29199999999999998,0.070999999999999994,0.012
0.078,0.11799999999999999,0.0,0.246,0.085000000000000006,0.129,0.224,0.031,0.17499999999999999,0.23499999999999999,0.37,0.035999999999999997,0.017999999999999999
0.091999999999999998,0.076999999999999999,0.0,0.28599999999999998,0.067000000000000004,0.158,0.20499999999999999,0.012999999999999999,0.184,0.23400000000000001,0.35799999999999998,0.040000000000000001,0.029000000000000001
0.098000000000000004,0.086999999999999994,0.0,0.23400000000000001,0.073999999999999996,0.13900000000000001,0.21299999999999999,0.023,0.155,0.23899999999999999,0.33100000000000002,0.033000000000000002,0.014
0.069000000000000006,0.027,0.0,0.223,0.083000000000000004,0.121,0.19900000000000001,0.012999999999999999,0.17599999999999999,0.23499999999999999,0.36699999999999999,0.021000000000000001,0.014
0.075999999999999998,0.025999999999999999,0.095000000000000001,0.23999999999999999,0.085999999999999993,0.13800000000000001,0.216,0.012,0.16900000000000001,0.23400000000000001,0.36699999999999999,0.021000000000000001,0.014999999999999999
0.085000000000000006,0.081000000000000003,0.0,0.25600000000000001,0.070999999999999994,0.125,0.22700000000000001,0.025000000000000001,0.16200000000000001,0.24099999999999999,0.35199999999999998,0.021999999999999999,0.014
0.091999999999999998,0.076999999999999999,0.0,0.27200000000000002,0.088999999999999996,0.13800000000000001,0.23300000000000001,0.023,0.16700000000000001,0.23799999999999999,0.35499999999999998,0.025999999999999999,0.029000000000000001
0.095000000000000001,0.092999999999999999,0.0,0.27400000000000002,0.078,0.16200000000000001,0.21299999999999999,0.037999999999999999,0.186,0.23400000000000001,0.34499999999999997,0.035000000000000003,0.014
0.083000000000000004,0.057000000000000002,0.0,0.247,0.075999999999999998,0.13300000000000001,0.20799999999999999,0.012,0.16800000000000001,0.24099999999999999,0.35499999999999998,0.016,0.016
0.095000000000000001,0.074999999999999997,0.0,0.26000000000000001,0.073999999999999996,0.125,0.21299999999999999,0.023,0.14000000000000001,0.24199999999999999,0.36299999999999999,0.025999999999999999,0.014
0.19400000000000001,0.36199999999999999,0.025000000000000001,0.184,0.13200000000000001,0.24099999999999999,0.252,0.096000000000000002,0.189,0.32700000000000001,0.26300000000000001,0.084000000000000005,0.042000000000000003
0.20000000000000001,0.438,0.0,0.16200000000000001,0.151,0.254,0.23000000000000001,0.089999999999999997,0.17799999999999999,0.34100000000000003,0.23899999999999999,0.084000000000000005,0.056000000000000001
0.215,0.32300000000000001,0.0,0.19800000000000001,0.155,0.25,0.24099999999999999,0.066000000000000003,0.21199999999999999,0.308,0.251,0.087999999999999995,0.045999999999999999
0.156,0.42299999999999999,0.0,0.159,0.13700000000000001,0.246,0.24099999999999999,0.082000000000000003,0.20799999999999999,0.31900000000000001,0.248,0.073999999999999996,0.042000000000000003
0.17899999999999999,0.377,0.0,0.20699999999999999,0.13700000000000001,0.23699999999999999,0.27500000000000002,0.078,0.27600000000000002,0.314,0.253,0.084000000000000005,0.042000000000000003
0.189,0.41499999999999998,0.029000000000000001,0.20399999999999999,0.151,0.224,0.23499999999999999,0.083000000000000004,0.20899999999999999,0.30299999999999999,0.248,0.087999999999999995,0.042000000000000003
0.188,0.39200000000000002,0.0,0.20399999999999999,0.151,0.25,0.26100000000000001,0.092999999999999999,0.188,0.29899999999999999,0.224,0.079000000000000001,0.044999999999999998
0.20899999999999999,0.42299999999999999,0.033000000000000002,0.20499999999999999,0.151,0.24099999999999999,0.23200000000000001,0.10000000000000001,0.188,0.29499999999999998,0.245,0.087999999999999995,0.042000000000000003
0.19400000000000001,0.38500000000000001,0.049000000000000002,0.17100000000000001,0.155,0.246,0.22900000000000001,0.089999999999999997,0.19600000000000001,0.308,0.254,0.087999999999999995,0.042999999999999997
0.20799999999999999,0.39200000000000002,0.029000000000000001,0.189,0.14199999999999999,0.25,0.20699999999999999,0.089999999999999997,0.192,0.29499999999999998,0.24099999999999999,0.084000000000000005,0.042999999999999997
0.158,0.083000000000000004,0.090999999999999998,0.34799999999999998,0.096000000000000002,0.16400000000000001,0.191,0.063,0.14899999999999999,0.30499999999999999,0.52700000000000002,0.052999999999999999,0.0
0.13900000000000001,0.13,0.062,0.35099999999999998,0.090999999999999998,0.155,0.191,0.074999999999999997,0.17899999999999999,0.30099999999999999,0.52800000000000002,0.072999999999999995,0.0
0.11,0.14299999999999999,0.057000000000000002,0.34499999999999997,0.096000000000000002,0.14699999999999999,0.17799999999999999,0.058000000000000003,0.22600000000000001,0.30199999999999999,0.51800000000000002,0.047,0.0
0.128,0.106,0.085999999999999993,0.34899999999999998,0.099000000000000005,0.16,0.189,0.058000000000000003,0.17299999999999999,0.29899999999999999,0.52700000000000002,0.047,0.0
0.14299999999999999,0.111,0.087999999999999995,0.32500000000000001,0.086999999999999994,0.14699999999999999,0.19800000000000001,0.043999999999999997,0.21299999999999999,0.29699999999999999,0.51800000000000002,0.053999999999999999,0.0
0.154,0.088999999999999996,0.079000000000000001,0.34999999999999998,0.079000000000000001,0.13300000000000001,0.188,0.042999999999999997,0.23200000000000001,0.28999999999999998,0.51400000000000001,0.066000000000000003,0.0
0.104,0.17100000000000001,0.094,0.374,0.082000000000000003,0.17699999999999999,0.192,0.039,0.20999999999999999,0.30399999999999999,0.53900000000000003,0.064000000000000001,0.012999999999999999
0.095000000000000001,0.154,0.079000000000000001,0.34799999999999998,0.091999999999999998,0.155,0.16400000000000001,0.053999999999999999,0.20399999999999999,0.29899999999999999,0.56599999999999995,0.055,0.0
0.11799999999999999,0.098000000000000004,0.14299999999999999,0.33600000000000002,0.099000000000000005,0.155,0.17899999999999999,0.081000000000000003,0.17999999999999999,0.29299999999999998,0.54600000000000004,0.051999999999999998,0.014999999999999999
0.157,0.128,0.053999999999999999,0.39200000000000002,0.076999999999999999,0.19,0.182,0.056000000000000001,0.21299999999999999,0.29199999999999998,0.52700000000000002,0.065000000000000002,0.017000000000000001
0.20899999999999999,0.029000000000000001,0.062,0.317,0.191,0.38300000000000001,0.26200000000000001,0.113,0.187,0.32700000000000001,0.47199999999999998,0.092999999999999999,0.072999999999999995
0.219,0.025999999999999999,0.083000000000000004,0.315,0.19500000000000001,0.379,0.26600000000000001,0.113,0.16800000000000001,0.33200000000000002,0.48399999999999999,0.087999999999999995,0.085000000000000006
0.19700000000000001,0.0,0.069000000000000006,0.316,0.183,0.39200000000000002,0.253,0.087999999999999995,0.14000000000000001,0.33100000000000002,0.48199999999999998,0.092999999999999999,0.098000000000000004
0.22900000000000001,0.050000000000000003,0.075999999999999998,0.31,0.20300000000000001,0.375,0.251,0.13500000000000001,0.189,0.32800000000000001,0.47899999999999998,0.087999999999999995,0.072999999999999995
0.215,0.029000000000000001,0.075999999999999998,0.38600000000000001,0.19900000000000001,0.39200000000000002,0.27200000000000002,0.11,0.17799999999999999,0.33500000000000002,0.48299999999999998,0.107,0.085000000000000006
0.22,0.062,0.071999999999999995,0.34300000000000003,0.21199999999999999,0.36699999999999999,0.26200000000000001,0.108,0.16900000000000001,0.33100000000000002,0.47499999999999998,0.092999999999999999,0.098000000000000004
0.23300000000000001,0.049000000000000002,0.062,0.27600000000000002,0.191,0.38300000000000001,0.26500000000000001,0.11,0.224,0.32600000000000001,0.504,0.10199999999999999,0.085000000000000006
0.19500000000000001,0.024,0.047,0.34599999999999997,0.20699999999999999,0.34599999999999997,0.27000000000000002,0.086999999999999994,0.13,0.33100000000000002,0.48099999999999998,0.10199999999999999,0.11
0.219,0.070000000000000007,0.078,0.316,0.19900000000000001,0.39600000000000002,0.252,0.099000000000000005,0.155,0.33000000000000002,0.47599999999999998,0.112,0.11
0.221,0.087999999999999995,0.062,0.28599999999999998,0.20300000000000001,0.36699999999999999,0.224,0.11,0.157,0.32600000000000001,0.48899999999999999,0.087999999999999995,0.13400000000000001
